case,rep,ms
npm-install,1,7694
npm-install,2,7566
npm-install,3,7424
pnpm-install,1,1990
pnpm-install,2,1669
pnpm-install,3,1680
yarn-install,1,8219
yarn-install,2,7816
yarn-install,3,7739
ripgrep,1,589
ripgrep,2,146
ripgrep,3,122
find-walk,1,125
find-walk,2,122
find-walk,3,120
copy-tree,1,4328
copy-tree,2,3905
copy-tree,3,2535
rm-rf,1,564
rm-rf,2,613
rm-rf,3,621
