case,rep,ms
npm-install,1,8985
npm-install,2,9178
npm-install,3,8981
ripgrep,1,1530
ripgrep,2,1242
ripgrep,3,1249
find-walk,1,546
find-walk,2,520
find-walk,3,519
copy-tree,1,21327
copy-tree,2,26512
copy-tree,3,26201
watch-latency,1,1
watch-latency,2,1
watch-latency,3,2
