case,rep,ms
npm-install,1,5991
npm-install,2,6085
npm-install,3,6062
ripgrep,1,1947
ripgrep,2,79
ripgrep,3,81
find-walk,1,96
find-walk,2,88
find-walk,3,90
copy-tree,1,3046
copy-tree,2,2965
copy-tree,3,3204
watch-latency,1,285
watch-latency,2,2
watch-latency,3,2
