case,rep,ms
npm-install,1,12001
npm-install,2,11416
npm-install,3,11249
copy-tree,1,16508
copy-tree,2,4846
copy-tree,3,5348
cpu-sha256,1,6467
cpu-sha256,2,6299
cpu-sha256,3,6284
memory-peak,1,3702
memory-after-15s,1,578
memory-after-60s,1,598
