case,rep,ms
npm-install,1,12026
npm-install,2,11517
npm-install,3,11040
copy-tree,1,15770
copy-tree,2,4786
copy-tree,3,5282
cpu-sha256,1,6326
cpu-sha256,2,6300
cpu-sha256,3,6280
memory-peak,1,3748
memory-after-15s,1,593
memory-after-60s,1,614
